Time,Queue Size,Useful Work,New/Total Packets Entering Queue
1,0,0.000000,0.000000
2,20,1.000000,1.000000
3,40,1.000000,1.000000
4,60,1.000000,1.000000
5,80,1.000000,1.000000
6,100,1.000000,1.000000
7,120,1.000000,1.000000
8,140,1.000000,1.000000
9,160,1.000000,1.000000
10,180,1.000000,1.000000
11,200,1.000000,1.000000
12,220,1.000000,1.000000
13,240,1.000000,1.000000
14,260,1.000000,1.000000
15,280,1.000000,1.000000
16,300,1.000000,1.000000
17,320,0.953125,1.000000
18,340,0.867647,1.000000
19,360,0.791667,1.000000
20,380,0.723684,1.000000
21,400,0.662500,1.000000
22,420,0.607143,1.000000
23,440,0.556818,1.000000
24,460,0.510870,1.000000
25,480,0.468750,1.000000
26,500,0.430000,1.000000
27,520,0.394231,1.000000
28,540,0.361111,1.000000
29,560,0.330357,1.000000
30,580,0.301724,1.000000
31,600,0.275000,1.000000
32,620,0.250000,1.000000
33,640,0.226562,1.000000
34,660,0.204545,1.000000
35,680,0.183824,1.000000
36,700,0.164286,1.000000
37,720,0.145833,1.000000
38,740,0.128378,1.000000
39,760,0.111842,1.000000
40,780,0.096154,1.000000
41,800,0.081250,1.000000
42,820,0.067073,1.000000
43,840,0.053571,1.000000
44,860,0.040698,1.000000
45,880,0.028409,1.000000
46,900,0.016667,1.000000
47,920,0.005435,1.000000
48,940,0.000000,0.500000
49,960,0.000000,0.000000
50,980,0.000000,0.000000
51,1000,0.000000,0.000000
52,1020,0.000000,0.000000
53,1040,0.000000,0.000000
54,1060,0.000000,0.000000
55,1080,0.000000,0.000000
56,1100,0.000000,0.000000
57,1120,0.000000,0.000000
58,1140,0.000000,0.000000
59,1160,0.000000,0.000000
60,1180,0.000000,0.000000
61,1200,0.000000,0.000000
62,1220,0.000000,0.000000
63,1240,0.000000,0.000000
64,1260,0.000000,0.000000
65,1280,0.000000,0.000000
66,1300,0.000000,0.000000
67,1320,0.000000,0.000000
68,1340,0.000000,0.000000
69,1360,0.000000,0.000000
70,1380,0.000000,0.000000
71,1400,0.000000,0.000000
72,1420,0.000000,0.000000
73,1440,0.000000,0.000000
74,1460,0.000000,0.000000
75,1480,0.000000,0.000000
76,1500,0.000000,0.000000
77,1520,0.000000,0.000000
78,1540,0.000000,0.000000
79,1560,0.000000,0.000000
80,1580,0.000000,0.000000
81,1600,0.000000,0.000000
82,1620,0.000000,0.000000
83,1640,0.000000,0.000000
84,1660,0.000000,0.000000
85,1680,0.000000,0.000000
86,1700,0.000000,0.000000
87,1720,0.000000,0.000000
88,1740,0.000000,0.000000
89,1760,0.000000,0.000000
90,1780,0.000000,0.000000
91,1800,0.000000,0.000000
92,1820,0.000000,0.000000
93,1840,0.000000,0.000000
94,1860,0.000000,0.000000
95,1880,0.000000,0.000000
96,1900,0.000000,0.000000
97,1920,0.000000,0.000000
98,1940,0.000000,0.000000
99,1960,0.000000,0.000000
